2023-02-24 11:02:17 INFO  AirBus :103 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (408c33c79bbabbeb8fe5c7aeb8eeedeb)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
2023-02-24 11:02:99 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (2ef47cfdf5992c39242615276be73116)] -> xpath: //a[@id='btn1_1']]
2023-02-24 11:02:352 INFO  AirBus :79 - I click on cookies[[ChromeDriver: chrome on WINDOWS (2ef47cfdf5992c39242615276be73116)] -> xpath: //button[@id="onetrust-accept-btn-handler"]]
2023-02-24 11:02:945 INFO  AirBus :90 - I enter Text[[ChromeDriver: chrome on WINDOWS (2ef47cfdf5992c39242615276be73116)] -> xpath: //input[@class='css-15xm6qs']]
2023-02-24 11:02:125 INFO  AirBus :95 - I click on[[ChromeDriver: chrome on WINDOWS (2ef47cfdf5992c39242615276be73116)] -> xpath: //button [@data-automation-id='dateType']]
2023-02-24 11:02:402 INFO  AirBus :103 - I select JOb Catagory[[ChromeDriver: chrome on WINDOWS (2ef47cfdf5992c39242615276be73116)] -> xpath: //button [@data-automation-id='jobFamilyGroup']]
2023-02-24 11:02:817 INFO  AirBus :109 - I click On search Button[[ChromeDriver: chrome on WINDOWS (2ef47cfdf5992c39242615276be73116)] -> xpath: //button[@class='css-1guf05z']]
2023-02-24 11:02:517 INFO  AirBus :114 - I click On search Button[[ChromeDriver: chrome on WINDOWS (2ef47cfdf5992c39242615276be73116)] -> xpath: //a[contains(text(),'Software Test Engineer')]]
2023-02-24 11:02:39 INFO  AirBus :120 - I click On Apply[[ChromeDriver: chrome on WINDOWS (2ef47cfdf5992c39242615276be73116)] -> xpath: //a[contains(text(),'Apply')]]
2023-02-24 11:02:146 INFO  AirBus :74 - I click on CareerHome[[ChromeDriver: chrome on WINDOWS (a1a54c841b15c9934e3af98d7c5682f0)] -> xpath: //a[@id='btn1_1']]
